algorithm,n,procs,repeat,time_seconds,reconstruction_error,residual
lu_hilbert_row_pivot,50,1,4,1.6900001355679706e-05,9.7280938357849495e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,1,5,1.6599999071331695e-05,9.7280938357849495e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,2,1,8.7400003394577652e-05,9.7280938357849655e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,2,2,5.9499998315004632e-05,9.7280938357849655e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,2,3,4.2899999243672937e-05,9.7280938357849655e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,2,4,3.0999999580672011e-05,9.7280938357849655e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,2,5,3.060000017285347e-05,9.7280938357849655e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,4,1,0.00014419999934034422,9.7280938357849556e-17,3.5248190159859346e-16
lu_hilbert_row_pivot,50,4,2,7.580000237794593e-05,9.7280938357849556e-17,3.5248190159859346e-16
lu_hilbert_row_pivot,50,4,3,5.7600002037361264e-05,9.7280938357849556e-17,3.5248190159859346e-16
lu_hilbert_row_pivot,50,4,4,5.0400001782691106e-05,9.7280938357849556e-17,3.5248190159859346e-16
lu_hilbert_row_pivot,50,4,5,5.1899998652515933e-05,9.7280938357849556e-17,3.5248190159859346e-16
lu_hilbert_row_pivot,50,8,1,0.00038769999810028821,9.7280938357849581e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,8,2,0.00013279999984661117,9.7280938357849581e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,8,3,0.00010709999696700834,9.7280938357849581e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,8,4,9.9100001534679905e-05,9.7280938357849581e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,8,5,8.2099999417550862e-05,9.7280938357849581e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,100,1,1,0.00012109999806853011,1.2715436008479351e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,1,2,0.00010159999874304049,1.2715436008479351e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,1,3,0.00010079999992740341,1.2715436008479351e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,1,4,0.00010639999891282059,1.2715436008479351e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,1,5,9.850000060396269e-05,1.2715436008479351e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,2,1,0.00024019999909796752,1.2715436008479504e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,2,2,0.00028070000189472921,1.2715436008479504e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,2,3,0.0001202000021294225,1.2715436008479504e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,2,4,0.00011470000026747584,1.2715436008479504e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,2,5,0.00012969999806955457,1.2715436008479504e-16,2.2890808885268069e-15
lu_hilbert_row_pivot,100,4,1,0.00029619999986607581,1.2715436008479474e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,4,2,0.0001523000028100796,1.2715436008479474e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,4,3,0.00012310000238358043,1.2715436008479474e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,4,4,0.00012100000094505958,1.2715436008479474e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,4,5,0.00012390000119921751,1.2715436008479474e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,8,1,0.00046229999861679971,1.2715436008479467e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,8,2,0.00025520000053802505,1.2715436008479467e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,8,3,0.00021779999951831996,1.2715436008479467e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,8,4,0.00018249999993713573,1.2715436008479467e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,100,8,5,0.0001841000012063887,1.2715436008479467e-16,2.2890808885268073e-15
lu_hilbert_row_pivot,500,1,1,0.012805200000002515,2.4810947924798092e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,1,2,0.014056899999559391,2.4810947924798092e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,1,3,0.012087099999916973,2.4810947924798092e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,1,4,0.012049799999658717,2.4810947924798092e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,1,5,0.011487299998407252,2.4810947924798092e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,2,1,0.0073738999999477528,2.4810947924800153e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,2,2,0.0074925000008079223,2.4810947924800153e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,2,3,0.0077240999999048654,2.4810947924800153e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,2,4,0.0064825999979802873,2.4810947924800153e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,2,5,0.0079166999967128504,2.4810947924800153e-16,6.3996407971220974e-14
lu_hilbert_row_pivot,500,4,1,0.0063317999993159901,2.4810947924800167e-16,6.3996407971220936e-14
lu_hilbert_row_pivot,500,4,2,0.0069900000016787089,2.4810947924800167e-16,6.3996407971220936e-14
lu_hilbert_row_pivot,500,4,3,0.004018999999971129,2.4810947924800167e-16,6.3996407971220936e-14
lu_hilbert_row_pivot,500,4,4,0.0040150999993784353,2.4810947924800167e-16,6.3996407971220936e-14
lu_hilbert_row_pivot,500,4,5,0.0040348000002268236,2.4810947924800167e-16,6.3996407971220936e-14
lu_hilbert_row_pivot,500,8,1,0.0065332999984093476,2.4810947924801321e-16,6.3996407971220949e-14
lu_hilbert_row_pivot,500,8,2,0.0051610999980766792,2.4810947924801321e-16,6.3996407971220949e-14
lu_hilbert_row_pivot,500,8,3,0.0059741000004578382,2.4810947924801321e-16,6.3996407971220949e-14
lu_hilbert_row_pivot,500,8,4,0.0076224000004003756,2.4810947924801321e-16,6.3996407971220949e-14
lu_hilbert_row_pivot,500,8,5,0.0053564999980153516,2.4810947924801321e-16,6.3996407971220949e-14
lu_hilbert_row_pivot,1000,1,1,0.11803270000018529,3.3453089367845177e-16,4.9085727493332483e-14
lu_hilbert_row_pivot,1000,1,2,0.10855430000083288,3.3453089367845177e-16,4.9085727493332483e-14
lu_hilbert_row_pivot,1000,1,3,0.10332500000004075,3.3453089367845177e-16,4.9085727493332483e-14
lu_hilbert_row_pivot,1000,1,4,0.10986950000005891,3.3453089367845177e-16,4.9085727493332483e-14
lu_hilbert_row_pivot,1000,1,5,0.10228810000262456,3.3453089367845177e-16,4.9085727493332483e-14
lu_hilbert_row_pivot,1000,2,1,0.064886499996646307,3.3453089367849308e-16,4.9085727493332628e-14
lu_hilbert_row_pivot,1000,2,2,0.060897999999724561,3.3453089367849308e-16,4.9085727493332628e-14
lu_hilbert_row_pivot,1000,2,3,0.064674199998989934,3.3453089367849308e-16,4.9085727493332628e-14
lu_hilbert_row_pivot,1000,2,4,0.077084599997760961,3.3453089367849308e-16,4.9085727493332628e-14
lu_hilbert_row_pivot,1000,2,5,0.071112499997980194,3.3453089367849308e-16,4.9085727493332628e-14
lu_hilbert_row_pivot,1000,4,1,0.049623200000496581,3.3453089367853662e-16,4.9085727493332565e-14
lu_hilbert_row_pivot,1000,4,2,0.069559799998387462,3.3453089367853662e-16,4.9085727493332565e-14
lu_hilbert_row_pivot,1000,4,3,0.048662099998182384,3.3453089367853662e-16,4.9085727493332565e-14
lu_hilbert_row_pivot,1000,4,4,0.064077900002303068,3.3453089367853662e-16,4.9085727493332565e-14
lu_hilbert_row_pivot,1000,4,5,0.047544200002448633,3.3453089367853662e-16,4.9085727493332565e-14
lu_hilbert_row_pivot,1000,8,1,0.06667590000142809,3.3453089367857389e-16,4.9085727493332577e-14
lu_hilbert_row_pivot,1000,8,2,0.059805500000948086,3.3453089367857389e-16,4.9085727493332577e-14
lu_hilbert_row_pivot,1000,8,3,0.060183399997185916,3.3453089367857389e-16,4.9085727493332577e-14
lu_hilbert_row_pivot,1000,8,4,0.077105800002755132,3.3453089367857389e-16,4.9085727493332577e-14
lu_hilbert_row_pivot,1000,8,5,0.061630600001080893,3.3453089367857389e-16,4.9085727493332577e-14
lu_hilbert_column_pivot,10,1,1,2.5300003471784294e-05,4.0758682579554242e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,1,2,3.7000027077738196e-06,4.0758682579554242e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,1,3,4.1999992390628904e-06,4.0758682579554242e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,1,4,3.0999981390777975e-06,4.0758682579554242e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,1,5,2.9000002541579306e-06,4.0758682579554242e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,2,1,9.8300002719042823e-05,4.075868257955423e-17,5.7740399597011681e-17
