algorithm,n,procs,time_seconds,reconstruction_error,residual,repeats,speedup,efficiency
lu_hilbert_column_pivot,1000,8,0.0578677000012248,3.341689746657126e-16,1.1919561976406956e-14,5,1.7399049901313837,0.21748812376642296
lu_hilbert_global_pivot,10,1,1.8999999156221747e-06,4.5652371080081263e-17,7.818087063752495e-17,5,1.0,1.0
lu_hilbert_global_pivot,10,2,1.340000017080456e-05,4.565237108008125e-17,7.818087063752495e-17,5,0.14179103667191187,0.07089551833595593
lu_hilbert_global_pivot,10,4,2.0999999833293256e-05,4.565237108008125e-17,7.818087063752495e-17,5,0.09047618717643645,0.022619046794109112
lu_hilbert_global_pivot,10,8,4.4699998397845775e-05,4.565237108008125e-17,7.818087063752495e-17,5,0.042505592477017656,0.005313199059627207
lu_hilbert_global_pivot,50,1,5.980000059935264e-05,9.521113712517306e-17,2.2835221998171894e-15,5,1.0,1.0
lu_hilbert_global_pivot,50,2,7.170000026235357e-05,9.521113712517322e-17,2.2835221998171894e-15,5,0.8340306887104841,0.41701534435524207
lu_hilbert_global_pivot,50,4,0.0001666999996814,9.521113712517313e-17,2.28352219981719e-15,5,0.3587282586301348,0.0896820646575337
lu_hilbert_global_pivot,50,8,0.0002752000000327,9.521113712517313e-17,2.2835221998171894e-15,5,0.21729651377996748,0.027162064222495935
lu_hilbert_global_pivot,100,1,0.000329700000293,1.2735790971986752e-16,2.440132776311753e-15,5,1.0,1.0
lu_hilbert_global_pivot,100,2,0.0004090000002179,1.2735790971986903e-16,2.440132776311753e-15,5,0.8061124697245674,0.4030562348622837
lu_hilbert_global_pivot,100,4,0.000445400000899,1.2735790971986876e-16,2.440132776311753e-15,5,0.7402334971430851,0.18505837428577127
lu_hilbert_global_pivot,100,8,0.000582900000154,1.2735790971986868e-16,2.440132776311753e-15,5,0.5656201753403577,0.07070252191754471
lu_hilbert_global_pivot,500,1,0.0338435000012395,2.333323859631928e-16,1.3350243510805504e-14,5,1.0,1.0
lu_hilbert_global_pivot,500,2,0.018843800000468,2.333323859632121e-16,1.3350243510805504e-14,5,1.7960018680095824,0.8980009340047912
lu_hilbert_global_pivot,500,4,0.0184312000019417,2.333323859632123e-16,1.3350243510805496e-14,5,1.8362070835145916,0.4590517708786479
lu_hilbert_global_pivot,500,8,0.0152070999974966,2.3333238596322313e-16,1.3350243510805498e-14,5,2.225506507276919,0.27818831340961486
lu_hilbert_global_pivot,1000,1,0.2708989000020665,3.065972927252857e-16,9.254660370682073e-14,5,1.0,1.0
lu_hilbert_global_pivot,1000,2,0.1572827000018151,3.0659729272532356e-16,9.254660370682099e-14,5,1.7223693387698726,0.8611846693849363
lu_hilbert_global_pivot,1000,4,0.1472614999984216,3.065972927253635e-16,9.254660370682088e-14,5,1.8395772147164742,0.45989430367911854
lu_hilbert_global_pivot,1000,8,0.1448660999994899,3.0659729272539766e-16,9.254660370682093e-14,5,1.8699951196520124,0.23374938995650155
lu_hilbert_no_pivot,10,1,7.999988156370819e-07,3.320360399528431e-17,6.236675960178109e-17,5,1.0,1.0
lu_hilbert_no_pivot,10,2,8.199996955227107e-06,3.3203603995284306e-17,6.236675960178109e-17,5,0.09756086740094712,0.04878043370047356
lu_hilbert_no_pivot,10,4,4.800000169780105e-06,3.3203603995284306e-17,6.236675960178109e-17,5,0.16666641402925844,0.04166660350731461
lu_hilbert_no_pivot,10,8,0.0057159999996656,3.32036039952843e-17,6.236675960178109e-17,5,0.00013995780540305874,1.7494725675382343e-05
lu_hilbert_no_pivot,50,1,1.5300000086426735e-05,8.581119223765245e-17,2.0540793057165817e-15,5,1.0,1.0
lu_hilbert_no_pivot,50,2,4.049999915878288e-05,8.581119223765259e-17,2.0540793057165817e-15,5,0.3777777877585155,0.18888889387925775
lu_hilbert_no_pivot,50,4,5.330000203684904e-05,8.581119223765249e-17,2.0540793057165817e-15,5,0.2870543996574157,0.07176359991435392
lu_hilbert_no_pivot,50,8,9.56999974732753e-05,8.581119223765251e-17,2.0540793057165817e-15,5,0.15987461327466948,0.019984326659333685
lu_hilbert_no_pivot,100,1,8.999999772640876e-05,1.1826681399528052e-16,7.078677916349999e-16,5,1.0,1.0
lu_hilbert_no_pivot,100,2,0.0001186999979836,1.182668139952819e-16,7.078677916349999e-16,5,0.7582139785616802,0.3791069892808401
lu_hilbert_no_pivot,100,4,8.600000001024455e-05,1.1826681399528166e-16,7.078677916349999e-16,5,1.046511601345206,0.2616279003363015
lu_hilbert_no_pivot,100,8,0.0001625000004423,1.1826681399528158e-16,7.078677916349999e-16,5,0.5538461383473392,0.0692307672934174
lu_hilbert_no_pivot,500,1,0.0114381999992474,2.3875552920908167e-16,4.807531830960557e-15,5,1.0,1.0
lu_hilbert_no_pivot,500,2,0.0063494999994873,2.3875552920910154e-16,4.807531830960557e-15,5,1.8014331837421835,0.9007165918710918
lu_hilbert_no_pivot,500,4,0.0039841999969212,2.387555292091017e-16,4.807531830960554e-15,5,2.8708900175910586,0.7177225043977646
lu_hilbert_no_pivot,500,8,0.0044794999994337,2.3875552920911283e-16,4.807531830960556e-15,5,2.5534546267872353,0.3191818283484044
lu_hilbert_no_pivot,1000,1,0.1080495999995037,3.227780561836335e-16,8.490493028776903e-15,5,1.0,1.0
lu_hilbert_no_pivot,1000,2,0.0641236000010394,3.2277805618367336e-16,8.490493028776928e-15,5,1.6850208035380467,0.8425104017690234
lu_hilbert_no_pivot,1000,4,0.0524280000026919,3.2277805618371537e-16,8.490493028776915e-15,5,2.060914015296329,0.5152285038240823
lu_hilbert_no_pivot,1000,8,0.0985420000033627,3.2277805618375136e-16,8.490493028776918e-15,5,1.0964827179864074,0.13706033974830092
lu_hilbert_row_pivot,10,1,8.99999577086419e-07,4.6795899180767817e-17,1.201962266366872e-16,5,1.0,1.0
lu_hilbert_row_pivot,10,2,8.099999831756577e-06,4.679589918076781e-17,1.201962266366872e-16,5,0.11111106120742274,0.05555553060371137
lu_hilbert_row_pivot,10,4,1.4199998986441642e-05,4.679589918076781e-17,1.2019622663668722e-16,5,0.06338025643140899,0.015845064107852247
lu_hilbert_row_pivot,10,8,2.1500000002561137e-05,4.6795899180767804e-17,1.201962266366872e-16,5,0.04186044544089342,0.005232555680111678
lu_hilbert_row_pivot,50,1,1.7600003047846258e-05,9.728093835784948e-17,3.5248190159859336e-16,5,1.0,1.0
lu_hilbert_row_pivot,50,2,4.289999924367294e-05,9.728093835784964e-17,3.5248190159859336e-16,5,0.41025648853460006,0.20512824426730003
lu_hilbert_row_pivot,50,4,5.7600002037361264e-05,9.728093835784957e-17,3.524819015985934e-16,5,0.30555559766179025,0.07638889941544756
lu_hilbert_row_pivot,50,8,0.000107099996967,9.728093835784959e-17,3.5248190159859336e-16,5,0.16433243273824955,0.020541554092281193
lu_hilbert_row_pivot,100,1,0.000101599998743,1.271543600847935e-16,2.289080888526807e-15,5,1.0,1.0
lu_hilbert_row_pivot,100,2,0.0001296999980695,1.2715436008479504e-16,2.289080888526807e-15,5,0.7833461854683872,0.3916730927341936
lu_hilbert_row_pivot,100,4,0.0001239000011992,1.2715436008479474e-16,2.2890808885268077e-15,5,0.8200161239680118,0.20500403099200296
lu_hilbert_row_pivot,100,8,0.0002177999995183,1.2715436008479467e-16,2.2890808885268077e-15,5,0.46648300719791036,0.058310375899738795
lu_hilbert_row_pivot,500,1,0.0120870999999169,2.4810947924798087e-16,6.399640797122097e-14,5,1.0,1.0
lu_hilbert_row_pivot,500,2,0.0074925000008079,2.4810947924800153e-16,6.399640797122097e-14,5,1.6132265597081847,0.8066132798540924
lu_hilbert_row_pivot,500,4,0.0040348000002268,2.4810947924800167e-16,6.399640797122094e-14,5,2.9957123027752233,0.7489280756938058
lu_hilbert_row_pivot,500,8,0.0059741000004578,2.4810947924801316e-16,6.399640797122095e-14,5,2.0232503639026223,0.2529062954878278
lu_hilbert_row_pivot,1000,1,0.1085543000008328,3.345308936784517e-16,4.9085727493332476e-14,5,1.0,1.0
lu_hilbert_row_pivot,1000,2,0.0648864999966463,3.345308936784931e-16,4.908572749333263e-14,5,1.6729874474111488,0.8364937237055744
lu_hilbert_row_pivot,1000,4,0.0496232000004965,3.345308936785366e-16,4.9085727493332565e-14,5,2.1875715391136943,0.5468928847784236
lu_hilbert_row_pivot,1000,8,0.0616306000010808,3.3453089367857384e-16,4.908572749333258e-14,5,1.7613701635052896,0.2201712704381612
